Ex-Dividend Date,Cash Amount,Record Date,Pay Date
2024/5/1,$0.27,2024/5/2,2024/5/7
2024/4/1,$0.28,2024/4/2,2024/4/5
2024/3/1,$0.25,2024/3/4,2024/3/7
2024/2/1,$0.24,2024/2/2,2024/2/7
2023/12/14,$0.28,2023/12/15,2023/12/20
2023/12/1,$0.25,2023/12/4,2023/12/7
2023/11/1,$0.25,2023/11/2,2023/11/7
2023/10/2,$0.24,2023/10/3,2023/10/6
2023/9/1,$0.24,2023/9/5,2023/9/8
2023/8/1,$0.24,2023/8/2,2023/8/7
2023/7/3,$0.23,2023/7/5,2023/7/10
2023/6/1,$0.23,2023/6/2,2023/6/7
2023/5/1,$0.24,2023/5/2,2023/5/5
2023/4/3,$0.20,2023/4/4,2023/4/7
2023/3/1,$0.20,2023/3/2,2023/3/7
2023/2/1,$0.21,2023/2/2,2023/2/7
2022/12/15,$0.19,2022/12/16,2022/12/21
2022/12/1,$0.19,2022/12/2,2022/12/7
2022/11/1,$0.20,2022/11/2,2022/11/7
2022/10/3,$0.19,2022/10/4,2022/10/7
2022/9/1,$0.18,2022/9/2,2022/9/8
2022/8/1,$0.18,2022/8/2,2022/8/5
2022/7/1,$0.16,2022/7/5,2022/7/8
2022/6/1,$0.13,2022/6/2,2022/6/7
2022/5/2,$0.13,2022/5/3,2022/5/6
2022/4/1,$0.12,2022/4/4,2022/4/7
2022/3/1,$0.10,2022/3/2,2022/3/7
2022/2/1,$0.11,2022/2/2,2022/2/7
2021/12/16,$0.11,2021/12/17,2021/12/22
2021/12/1,$0.09,2021/12/2,2021/12/7
2021/11/1,$0.08,2021/11/2,2021/11/5
2021/10/1,$0.08,2021/10/4,2021/10/7
2021/9/1,$0.08,2021/9/2,2021/9/8
2021/8/2,$0.08,2021/8/3,2021/8/6
2021/7/1,$0.08,2021/7/2,2021/7/8
2021/6/1,$0.08,2021/6/2,2021/6/7
2021/5/3,$0.07,2021/5/4,2021/5/7
2021/4/1,$0.07,2021/4/5,2021/4/8
2021/3/1,$0.07,2021/3/2,2021/3/5
2021/2/1,$0.08,2021/2/2,2021/2/5
2020/12/17,$0.07,2020/12/18,2020/12/23
2020/12/1,$0.08,2020/12/2,2020/12/7
2020/11/2,$0.08,2020/11/3,2020/11/6
2020/10/1,$0.08,2020/10/2,2020/10/7
2020/9/1,$0.09,2020/9/2,2020/9/8
2020/8/3,$0.10,2020/8/4,2020/8/7
2020/7/1,$0.11,2020/7/2,2020/7/8
2020/6/1,$0.12,2020/6/2,2020/6/5
2020/5/1,$0.13,2020/5/4,2020/5/7
2020/4/1,$0.14,2020/4/2,2020/4/7
,,,
,,,
